"year","county","FIPS","candidate","party","unemployment_rate","percentage_votes"
2012,"bexar","48029","Barack Obama","democrat",6.3,0.515604042197395
2012,"blanco","48031","Barack Obama","democrat",5.2,0.245324753669817
2012,"borden","48033","Barack Obama","democrat",4.3,0.0881542699724518
2012,"bosque","48035","Barack Obama","democrat",7.2,0.185834692767809
2012,"bowie","48037","Barack Obama","democrat",7.4,0.287990057620608
2012,"brazoria","48039","Barack Obama","democrat",6.7,0.322478194474372
2012,"brazos","48041","Barack Obama","democrat",5.3,0.312301204388692
2012,"brewster","48043","Barack Obama","democrat",5.1,0.456426170157745
2012,"briscoe","48045","Barack Obama","democrat",5.4,0.166666666666667
2012,"brooks","48047","Barack Obama","democrat",8.7,0.784852267998335
2012,"brown","48049","Barack Obama","democrat",6.8,0.136516813651681
2012,"burleson","48051","Barack Obama","democrat",6.3,0.26409541511772
2012,"burnet","48053","Barack Obama","democrat",6,0.218742557751846
2012,"caldwell","48055","Barack Obama","democrat",7.2,0.432869533791109
2012,"calhoun","48057","Barack Obama","democrat",7.3,0.36251504211793
2012,"callahan","48059","Barack Obama","democrat",6.1,0.144506446026554
2012,"cameron","48061","Barack Obama","democrat",10.3,0.649912217959555
2012,"camp","48063","Barack Obama","democrat",8,0.329411764705882
2012,"carson","48065","Barack Obama","democrat",4.6,0.105111591072714
2012,"cass","48067","Barack Obama","democrat",9.2,0.248048863250764
2012,"castro","48069","Barack Obama","democrat",4.4,0.297310051911279
2012,"chambers","48071","Barack Obama","democrat",8,0.189345096708517
2012,"cherokee","48073","Barack Obama","democrat",7.2,0.240295175492993
2012,"childress","48075","Barack Obama","democrat",4.4,0.160320641282565
2012,"clay","48077","Barack Obama","democrat",5.6,0.146331817282974
2012,"cochran","48079","Barack Obama","democrat",7.5,0.27917121046892
2012,"coke","48081","Barack Obama","democrat",5.1,0.127130681818182
2012,"coleman","48083","Barack Obama","democrat",7.5,0.126575028636884
2012,"collin","48085","Barack Obama","democrat",5.9,0.334900815993607
2012,"collingsworth","48087","Barack Obama","democrat",5,0.153913043478261
2012,"colorado","48089","Barack Obama","democrat",6.4,0.249969200443514
2012,"comal","48091","Barack Obama","democrat",6,0.222204971957538
2012,"comanche","48093","Barack Obama","democrat",6.4,0.181410517733388
2012,"concho","48095","Barack Obama","democrat",4.2,0.193806193806194
2012,"cooke","48097","Barack Obama","democrat",5,0.156504773186538
2012,"coryell","48099","Barack Obama","democrat",7.4,0.310648036617682
2012,"cottle","48101","Barack Obama","democrat",7.5,0.242914979757085
2012,"crane","48103","Barack Obama","democrat",4.9,0.214341387373344
2012,"crockett","48105","Barack Obama","democrat",5,0.329444063143445
2012,"crosby","48107","Barack Obama","democrat",7.2,0.357582540570789
2012,"culberson","48109","Barack Obama","democrat",6.1,0.646188850967008
2012,"dallam","48111","Barack Obama","democrat",3.7,0.164928292046936
2012,"dallas","48113","Barack Obama","democrat",7.1,0.571132644338891
2012,"dawson","48115","Barack Obama","democrat",6.4,0.279791323448655
2012,"deaf smith","48117","Barack Obama","democrat",4.7,0.287537711766071
2012,"delta","48119","Barack Obama","democrat",6.7,0.224975222993062
2012,"denton","48121","Barack Obama","democrat",5.7,0.333543399195159
2012,"dewitt","48123","Barack Obama","democrat",4.8,0.221000301295571
2012,"dickens","48125","Barack Obama","democrat",10.7,0.211972522080471
2012,"dimmit","48127","Barack Obama","democrat",5.8,0.733973260198834
2012,"donley","48129","Barack Obama","democrat",5.9,0.147231270358306
2012,"duval","48131","Barack Obama","democrat",7,0.766804788213628
2012,"eastland","48133","Barack Obama","democrat",6.7,0.149345650500385
2012,"ector","48135","Barack Obama","democrat",4.6,0.24968474148802
2012,"edwards","48137","Barack Obama","democrat",6.4,0.262443438914027
2012,"ellis","48139","Barack Obama","democrat",6.8,0.256338756440324
2012,"el paso","48141","Barack Obama","democrat",8.5,0.655128413335499
2012,"erath","48143","Barack Obama","democrat",5.6,0.157540287019963
2012,"falls","48145","Barack Obama","democrat",7.3,0.374125874125874
2012,"fannin","48147","Barack Obama","democrat",7.1,0.230099962976675
2012,"fayette","48149","Barack Obama","democrat",4.8,0.219410482418728
2012,"fisher","48151","Barack Obama","democrat",5.4,0.314303253529773
2012,"floyd","48153","Barack Obama","democrat",6.4,0.264268585131894
2012,"foard","48155","Barack Obama","democrat",5.8,0.282828282828283
2012,"fort bend","48157","Barack Obama","democrat",6,0.460815803981065
2012,"franklin","48159","Barack Obama","democrat",7.4,0.1764153159502
2012,"freestone","48161","Barack Obama","democrat",6.7,0.244385733157199
2012,"frio","48163","Barack Obama","democrat",5,0.598790322580645
2012,"gaines","48165","Barack Obama","democrat",4.2,0.131578947368421
2012,"galveston","48167","Barack Obama","democrat",7.6,0.358936390559422
2012,"garza","48169","Barack Obama","democrat",5,0.178846153846154
2012,"gillespie","48171","Barack Obama","democrat",4.7,0.163745019920319
2012,"glasscock","48173","Barack Obama","democrat",4.1,0.0761245674740484
2012,"goliad","48175","Barack Obama","democrat",5.5,0.325910931174089
2012,"gonzales","48177","Barack Obama","democrat",5.1,0.293379560838699
2012,"gray","48179","Barack Obama","democrat",5.6,0.119907971308702
2012,"grayson","48181","Barack Obama","democrat",6.8,0.252460723074011
2012,"gregg","48183","Barack Obama","democrat",6.2,0.298696605391862
2012,"grimes","48185","Barack Obama","democrat",6.4,0.271945122660156
2012,"guadalupe","48187","Barack Obama","democrat",5.7,0.317970674960617
2012,"hale","48189","Barack Obama","democrat",6.9,0.253331827422634
2012,"hall","48191","Barack Obama","democrat",7.7,0.238954012623986
2012,"hamilton","48193","Barack Obama","democrat",5.8,0.166385135135135
2012,"hansford","48195","Barack Obama","democrat",3.4,0.081039755351682
2012,"hardeman","48197","Barack Obama","democrat",5.9,0.202006688963211
2012,"hardin","48199","Barack Obama","democrat",8.4,0.157721744846692
2012,"harris","48201","Barack Obama","democrat",6.6,0.493901572037339
2012,"harrison","48203","Barack Obama","democrat",7.4,0.323118074130684
2012,"hartley","48205","Barack Obama","democrat",3.3,0.0961840041819132
2012,"haskell","48207","Barack Obama","democrat",5.3,0.27471435668157
2012,"hays","48209","Barack Obama","democrat",5.8,0.432749826303571
2012,"hemphill","48211","Barack Obama","democrat",2.9,0.127236580516899
2012,"henderson","48213","Barack Obama","democrat",7.6,0.221015673073443
2012,"hidalgo","48215","Barack Obama","democrat",10.6,0.704007645930195
2012,"hill","48217","Barack Obama","democrat",6.9,0.228476546284765
2012,"hockley","48219","Barack Obama","democrat",5.3,0.208298289879451
2012,"hood","48221","Barack Obama","democrat",6.5,0.170534723763035
2012,"hopkins","48223","Barack Obama","democrat",6.5,0.217752685642594
2012,"houston","48225","Barack Obama","democrat",7.1,0.275748721694668
2012,"howard","48227","Barack Obama","democrat",5.6,0.242668200115009
2012,"hudspeth","48229","Barack Obama","democrat",7.5,0.439165701042874
2012,"hunt","48231","Barack Obama","democrat",8.3,0.237833790865985
2012,"hutchinson","48233","Barack Obama","democrat",6.5,0.131811301715439
2012,"irion","48235","Barack Obama","democrat",4.6,0.142131979695431
2012,"jack","48237","Barack Obama","democrat",5.8,0.104195323246217
2012,"jackson","48239","Barack Obama","democrat",5.1,0.212935323383085
2012,"jasper","48241","Barack Obama","democrat",10.6,0.253236664940445
2012,"jeff davis","48243","Barack Obama","democrat",4.9,0.369127516778524
2012,"jefferson","48245","Barack Obama","democrat",11.1,0.503999909734054
2012,"jim hogg","48247","Barack Obama","democrat",6.6,0.780443911217756
2012,"jim wells","48249","Barack Obama","democrat",6.2,0.581407845244492
2012,"johnson","48251","Barack Obama","democrat",6.6,0.214914615668127
2012,"jones","48253","Barack Obama","democrat",7.2,0.22022633375247
2012,"karnes","48255","Barack Obama","democrat",6.1,0.316606929510155
2012,"kaufman","48257","Barack Obama","democrat",7,0.273204499567349
2012,"kendall","48259","Barack Obama","democrat",5.4,0.171118483945341
2012,"kenedy","48261","Barack Obama","democrat",5.1,0.491017964071856
2012,"kent","48263","Barack Obama","democrat",4,0.162962962962963
2012,"kerr","48265","Barack Obama","democrat",5.8,0.198272315919375
2012,"kimble","48267","Barack Obama","democrat",4.9,0.114693446088795
2012,"king","48269","Barack Obama","democrat",4.5,0.0344827586206897
2012,"kinney","48271","Barack Obama","democrat",8.8,0.366315789473684
2012,"kleberg","48273","Barack Obama","democrat",6.9,0.533737509823734
2012,"knox","48275","Barack Obama","democrat",5.2,0.219867549668874
2012,"lamar","48277","Barack Obama","democrat",9.2,0.243123800662906
2012,"lamb","48279","Barack Obama","democrat",8,0.243950134441457
2012,"lampasas","48281","Barack Obama","democrat",7.1,0.205302609661299
2012,"la salle","48283","Barack Obama","democrat",4.4,0.586269744835966
2012,"lavaca","48285","Barack Obama","democrat",4.8,0.172172654931276
2012,"lee","48287","Barack Obama","democrat",5.4,0.262337244815946
2012,"leon","48289","Barack Obama","democrat",7.4,0.152915766738661
2012,"liberty","48291","Barack Obama","democrat",9.6,0.228699551569507
2012,"limestone","48293","Barack Obama","democrat",6.9,0.291947639825466
2012,"lipscomb","48295","Barack Obama","democrat",3.9,0.101883561643836
2012,"live oak","48297","Barack Obama","democrat",4.6,0.223437879893022
2012,"llano","48299","Barack Obama","democrat",6.8,0.19062565390249
2012,"loving","48301","Barack Obama","democrat",6,0.140625
2012,"lubbock","48303","Barack Obama","democrat",5.3,0.288109756097561
2012,"lynn","48305","Barack Obama","democrat",6,0.25829504849413
2012,"mcculloch","48307","Barack Obama","democrat",5.4,0.179418643501504
2012,"mclennan","48309","Barack Obama","democrat",6.6,0.344696207456299
